seed,model,NDCG@10,Precision@10,RMSE,Novelty@10,Serendipity@10,Coverage,ColdSlots
24265298,SVD,0.1501734428647525,0.11644518272425249,0.8733592052113393,2.340885707678171,0.08610822626161567,0.0400041135335253,0
24265298,Content,0.03593557192671861,0.021464226289517475,,6.76073488607361,0.018267698952373432,0.24938296997120526,481
24265298,Hybrid (weighted),0.1605323565104618,0.1176079734219269,,2.488887049469149,0.0872277895286307,0.05532702591526121,6
24265298,Hybrid (switching),0.14736873424580416,0.11411960132890366,,2.3973075298058655,0.08412547373457813,0.04226655697243933,60
24265298,Most-Popular,0.15488565356756512,0.11528239202657808,,1.6480013363176893,0.07820141263980947,0.006170300287947347,0
24265298,AutoRec,0.14324784106748187,0.10481727574750829,0.8516560449664242,1.855489023765057,0.07361604254231667,0.0055532702591526125,0
24265298,Nested Hybrid,0.16431862621603857,0.12026578073089703,,2.424735877564511,0.08999516070273121,0.05121349238996298,1
1,SVD,0.1528775841080396,0.1184692179700499,0.8697302932508109,2.3692526014917044,0.08779829580268564,0.03897573015220074,0
1,Content,0.03413990561452265,0.02166666666666667,,6.710688357039972,0.018419803600654663,0.24681201151789386,337
1,Hybrid (weighted),0.1600526725566959,0.11963394342762061,,2.5093860891364153,0.08924160768604426,0.055635540929658577,7
1,Hybrid (switching),0.15042586188244708,0.11647254575707154,,2.4166989990489856,0.08613031744691743,0.04144385026737968,52
1,Most-Popular,0.15597419510814584,0.11697171381031615,,1.6472720762096436,0.07983012491455867,0.006067461949814891,0
1,AutoRec,0.14532961938355207,0.10449251247920133,0.8470045487506831,1.913487087797954,0.07430932079921353,0.005861785273549979,0
1,Nested Hybrid,0.16380977294097135,0.12262895174708817,,2.4434524377595026,0.0923131387676295,0.05049362402303579,1
42,SVD,0.15447794473593435,0.11791044776119403,0.8668625500255431,2.313036734508759,0.0869232669169157,0.03877005347593583,0
42,Content,0.03514487950936636,0.022425249169435217,,6.735824116822748,0.01910326190385567,0.251131221719457,393
42,Hybrid (weighted),0.16641935163444457,0.12388059701492535,,2.474742215303054,0.09251071429540786,0.055944055944055944,5
42,Hybrid (switching),0.15271444459355965,0.11608623548922056,,2.364654636215264,0.08547307108755188,0.041238173591114764,54
42,Most-Popular,0.14681619715257518,0.11044776119402987,,1.6350645940346042,0.07480518846031707,0.005656108597285068,0
42,AutoRec,0.14066238458174057,0.10845771144278608,0.8496987374205591,1.8499683571942713,0.07713342724457363,0.005656108597285068,0
42,Nested Hybrid,0.17050317717240318,0.12819237147595358,,2.3870273121765737,0.09643381564626405,0.05018510900863842,0
12345,SVD,0.1584864549630871,0.12416666666666666,0.8555426780354956,2.340564635744056,0.09234288052373159,0.038153023447141096,0
12345,Content,0.035179627912481574,0.022036727879799666,,6.769359039694982,0.019055217506537082,0.24763471822295352,446
12345,Hybrid (weighted),0.17034881259276827,0.12583333333333332,,2.5079191775401273,0.09368494271685761,0.05501851090086384,15
12345,Hybrid (switching),0.1553081655669336,0.12133333333333333,,2.388614279082695,0.08991462084015275,0.0400041135335253,54
12345,Most-Popular,0.15361152542331533,0.1165,,1.6482110186625616,0.07923458810692853,0.005964623611682435,0
12345,AutoRec,0.15295253329030212,0.12266666666666666,0.8379269524617604,1.7403850024709502,0.08581205673758865,0.006067461949814891,0
12345,Nested Hybrid,0.17257842947408567,0.1285,,2.433936918917718,0.09662902345881069,0.04967091731797614,0
